./sim < tests/topology.slang
testName time fitness gens maxGens agents groupsize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
topologyTest 0.500000 0.998000 100 100 500 10 0 0 0 0.004 0.044 0.224 0.386 0.744 0.774 0.996 0.998
topologyTest 0.500000 1.000000 74 100 500 10 0 0 0 0.004 0.046 0.23 0.382 0.756 0.786 0.996 1
topologyTest 0.500000 1.000000 97 100 500 10 0 0 0 0.004 0.044 0.226 0.332 0.698 0.736 0.996 1
topologyTest 0.500000 1.000000 72 100 500 10 0 0 0 0.006 0.056 0.31 0.45 0.808 0.94 0.992 1
topologyTest 0.500000 1.000000 77 100 500 10 0 0 0 0.006 0.062 0.286 0.456 0.828 0.862 0.984 1
topologyTest 0.500000 1.000000 72 100 500 10 0 0 0 0.004 0.042 0.226 0.332 0.694 0.736 0.998 1
topologyTest 0.500000 0.998000 100 100 500 10 0 0 0 0.002 0.03 0.152 0.296 0.594 0.678 0.986 0.998
topologyTest 0.500000 1.000000 96 100 500 10 0 0 0 0.004 0.046 0.228 0.402 0.768 0.8 0.996 1
topologyTest 0.500000 1.000000 59 100 500 10 0 0 0 0.004 0.042 0.218 0.376 0.73 0.772 0.996 1
topologyTest 0.500000 1.000000 81 100 500 10 0 0 0 0.004 0.046 0.224 0.368 0.738 0.77 0.996 1
topologyTest 0.500000 1.000000 72 100 500 10 0 0 0 0.004 0.046 0.222 0.38 0.74 0.77 0.99 1
topologyTest 0.500000 1.000000 87 100 500 10 0 0 0 0.004 0.046 0.228 0.39 0.756 0.788 0.984 1
topologyTest 0.500000 1.000000 51 100 500 10 0 0 0 0.004 0.042 0.228 0.324 0.682 0.732 0.988 1
topologyTest 0.500000 1.000000 67 100 500 10 0 0 0 0.006 0.054 0.25 0.42 0.824 0.872 0.998 1
topologyTest 0.500000 1.000000 63 100 500 10 0 0 0 0.006 0.068 0.334 0.518 0.888 0.97 0.994 1
topologyTest 0.500000 1.000000 77 100 500 10 0 0 0 0.004 0.056 0.238 0.378 0.744 0.81 0.994 1
topologyTest 0.500000 1.000000 67 100 500 10 0 0 0 0.004 0.046 0.226 0.376 0.74 0.776 0.994 1
topologyTest 0.500000 1.000000 65 100 500 10 0 0 0 0.004 0.046 0.228 0.386 0.752 0.78 0.972 1
topologyTest 0.500000 1.000000 82 100 500 10 0 0 0 0.004 0.044 0.226 0.35 0.71 0.74 0.976 1
topologyTest 0.500000 0.998000 100 100 500 10 0 0 0 0.004 0.034 0.2 0.378 0.69 0.76 0.99 0.998
topologyTest 0.500000 1.000000 72 100 500 10 0 0 0 0.004 0.052 0.248 0.418 0.804 0.832 0.978 1
