./sim < tests/agents.slang
testName time fitness gens maxGens agents groupsize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
agentsTest 0.700000 1.000000 74 100 500 10 0 0 0.004 0.064 0.204 0.396 0.592 0.776 0.888 0.994 1
agentsTest 0.700000 0.998000 100 100 500 10 0 0 0.004 0.062 0.2 0.346 0.514 0.716 0.92 1 0.998
agentsTest 0.700000 1.000000 83 100 500 10 0 0 0.004 0.066 0.198 0.382 0.576 0.768 0.916 0.996 1
agentsTest 0.700000 1.000000 73 100 500 10 0 0 0.004 0.066 0.206 0.4 0.6 0.77 0.92 0.986 1
agentsTest 0.700000 1.000000 73 100 500 10 0 0 0.004 0.064 0.2 0.4 0.6 0.78 0.882 0.994 1
agentsTest 0.700000 1.000000 82 100 500 10 0 0 0.004 0.064 0.222 0.41 0.574 0.74 0.926 0.988 1
agentsTest 0.700000 1.000000 75 100 500 10 0 0 0.004 0.064 0.19 0.372 0.572 0.772 0.916 0.996 1
agentsTest 0.700000 1.000000 86 100 500 10 0 0 0.002 0.026 0.12 0.286 0.514 0.76 0.952 0.99 1
agentsTest 0.700000 1.000000 71 100 500 10 0 0 0.004 0.064 0.228 0.414 0.572 0.74 0.926 0.982 1
agentsTest 0.700000 1.000000 68 100 500 10 0 0 0.004 0.064 0.208 0.384 0.572 0.752 0.936 0.994 1
agentsTest 0.700000 1.000000 59 100 500 10 0 0 0.004 0.06 0.23 0.406 0.584 0.78 0.972 0.994 1
agentsTest 0.700000 1.000000 73 100 500 10 0 0 0.004 0.066 0.202 0.4 0.598 0.798 0.884 0.992 1
agentsTest 0.700000 1.000000 90 100 500 10 0 0 0.004 0.068 0.206 0.398 0.594 0.79 0.948 1 1
agentsTest 0.700000 1.000000 80 100 500 10 0 0 0.004 0.066 0.22 0.398 0.576 0.752 0.926 0.992 1
agentsTest 0.700000 1.000000 62 100 500 10 0 0 0.004 0.064 0.18 0.358 0.556 0.754 0.91 0.988 1
agentsTest 0.700000 1.000000 50 100 500 10 0 0 0.004 0.066 0.208 0.39 0.578 0.776 0.91 0.992 1
agentsTest 0.700000 1.000000 89 100 500 10 0 0 0.004 0.07 0.246 0.442 0.622 0.806 0.978 0.998 1
agentsTest 0.700000 1.000000 75 100 500 10 0 0 0.004 0.064 0.208 0.378 0.578 0.768 0.914 0.99 1
agentsTest 0.700000 1.000000 82 100 500 10 0 0 0.004 0.068 0.234 0.406 0.58 0.766 0.958 0.99 1
agentsTest 0.700000 1.000000 70 100 500 10 0 0 0.004 0.066 0.21 0.398 0.582 0.778 0.904 0.988 1
agentsTest 0.700000 1.000000 83 100 500 10 0 0 0.004 0.064 0.196 0.388 0.58 0.776 0.892 0.994 1
agentsTest 0.700000 1.000000 94 100 500 10 0 0 0.004 0.064 0.206 0.402 0.594 0.758 0.9 0.994 1
agentsTest 0.700000 1.000000 65 100 500 10 0 0 0.004 0.066 0.2 0.4 0.598 0.784 0.88 0.994 1
agentsTest 0.700000 1.000000 81 100 500 10 0 0 0.004 0.064 0.158 0.288 0.464 0.656 0.854 0.984 1
agentsTest 0.700000 1.000000 79 100 500 10 0 0 0.004 0.064 0.194 0.394 0.588 0.776 0.89 0.992 1
agentsTest 0.700000 1.000000 85 100 500 10 0 0 0.004 0.066 0.198 0.386 0.574 0.768 0.954 0.994 1
agentsTest 0.700000 1.000000 68 100 500 10 0 0 0.004 0.066 0.24 0.434 0.6 0.766 0.932 0.996 1
agentsTest 0.700000 1.000000 68 100 500 10 0 0 0.004 0.064 0.198 0.38 0.58 0.778 0.902 0.992 1
agentsTest 0.700000 1.000000 75 100 500 10 0 0 0.004 0.064 0.226 0.392 0.582 0.768 0.93 0.99 1
agentsTest 0.700000 1.000000 79 100 500 10 0 0 0.004 0.068 0.218 0.392 0.574 0.76 0.932 0.99 1
agentsTest 0.700000 1.000000 92 100 500 10 0 0 0.004 0.04 0.132 0.274 0.484 0.706 0.93 0.996 1
agentsTest 0.700000 1.000000 80 100 500 10 0 0 0.004 0.066 0.2 0.392 0.588 0.788 0.882 0.992 1
agentsTest 0.700000 1.000000 81 100 500 10 0 0 0.004 0.068 0.198 0.362 0.572 0.758 0.954 0.996 1
agentsTest 0.700000 1.000000 80 100 500 10 0 0 0.004 0.07 0.196 0.368 0.588 0.776 0.934 0.99 1
