1453715.400	920860.634
1454314.520	920461.220
1455734.658	919773.340
1455512.762	919573.634
1456000.934	919595.823
1455823.417	919373.927
1452472.779	920549.973
1452761.244	920350.271
1453116.279	920106.185
1453693.210	919618.013
1454314.520	919218.599
1454647.365	918952.323
1454935.831	918774.806
1453116.279	918819.185
1451918.038	919174.220
1452295.262	918952.323
1452894.382	918530.720
1451718.331	918907.944
1452694.675	918242.254
1452805.624	919018.892
1452494.969	919262.978
1452162.124	919440.496
1453560.072	918109.116
1453826.348	917887.220
1454159.193	917620.944
1453271.606	917820.651
1453626.641	917554.375
1454447.650	917465.620
1444533.320	920612.110
1453386.993	921122.470
1446685.716	918615.040
1449082.190	919702.330
1449060.000	919302.910
1450546.720	919768.902
1450546.716	919302.900
1452033.423	918748.178
1448017.096	919746.712
1453142.900	917572.126
1453697.648	917106.140
1447928.340	916085.420
1446508.190	916052.507
1450968.320	918288.850
1450213.870	917933.810
1454074.870	916913.090
1451545.250	919287.380
1451458.896	918523.762
1451123.640	917933.810
1451500.870	917201.559
1452499.400	918044.766
1452765.680	917445.650
1443845.440	918732.647
1452280.350	917632.070
1446969.470	919180.650
1452558.260	918774.550
1452524.480	920058.350
1452119.070	920784.710
1452896.110	920632.680
1453631.070	916336.165
1453342.610	916513.680
1443909.510	917389.390
1443858.830	916071.810
1445176.418	916071.810
1443858.830	914759.290
1443882.556	909746.604
1449095.387	908112.250
1452929.890	915882.620
1442102.050	923007.710
1443250.710	924122.590
1447744.010	910720.000
1447777.800	910720.390
1446477.110	909424.760
1446477.110	912093.721
1457169.871	917617.440
1456970.480	908171.370
1447747.390	908086.910
1450348.780	908070.020
1451733.930	908086.910
1451733.930	909438.280
1451733.930	910705.190
1451750.826	912056.550
1452004.280	912647.780
1456936.700	903897.670
1451446.760	902157.780
1451733.930	905468.636
1451717.040	903407.790
1451733.705	907644.553
1454622.480	908086.910
1457145.39	902665.18
1457044.390	902648.180
1454056.380	910956.870
1453687.680	909550.790
1454756.310	911163.105
1462161.710	905576.240
1462124.214	903945.187
1459630.750	906926.090
1461033.090	910638.165
1462086.710	899876.900
1433068.813	916091.912
1425100.981	915773.199
1427706.930	915829.443
1430444.115	915979.425
1432000.186	916110.660
1431992.687	913834.673
1430399.120	913797.177
1425074.734	913909.664
1414368.320	912493.730
1419769.095	913928.412
1425112.229	919177.807
1419836.587	919185.306
1414482.204	919316.541
1425018.490	908547.782
1419731.600	908660.269
1424193.585	908547.782
1414388.465	908660.269
1414369.717	910904.824
1414332.222	913947.160
1456582.231	919083.643
1456456.960	918906.300
1456676.560	918737.380
1447581.398	925038.544
1452875.840	919818.482
1453517.740	919413.070
1454092.070	918923.200
1454362.340	918669.810
1454717.080	918500.890
1454227.200	918484.000
1454514.370	918230.620
1455240.730	918568.460
1455848.850	918129.270
1456186.690	917909.670
1455056.163	918257.606
1455679.930	917825.210
1455983.980	917622.500
1455764.390	917335.340
1454024.500	918146.160
1453703.550	918399.540
1454835.320	917994.130
1455156.270	917825.510
1455460.330	917554.930
1456744.130	916152.890
1455527.900	917031.280
1455257.620	917250.880
1454615.720	917673.180
1454733.940	917183.311
1455054.926	916980.600
1455342.080	916761.010
1457369.140	917014.390
1454294.770	917977.240
1457065.080	915747.480
1454429.910	916676.550
1453973.820	916085.320
1454260.990	915916.400
1452352.185	913754.210
1455578.570	915815.050
1457031.290	913940.020
1453923.150	918686.710
1454683.290	916456.950
1457723.870	916321.810
1454953.570	917453.580
1457048.190	912445.680
1457014.400	911186.610
1453635.980	915561.670
1456592.100	915950.180
1457081.580	914912.550
1453467.065	913213.680
1454767.750	912098.780
1454193.420	912791.360
1409232.232	921497.139
1419934.845	932577.833
1415021.726	950960.346
1415010.092	950977.796
1409174.066	919354.678
1414971.315	946896.456
1414661.094	935146.848
1420016.555	935054.059
1414564.150	924579.957
1414602.928	929844.014
1414963.559	946886.761
1398975.562	935311.653
1399150.061	946528.069
1401786.937	946954.622
1404578.923	913985.921
1404094.203	913983.982
1404128.191	919296.737
1404559.534	919298.450
1404656.478	916293.187
1401476.716	919354.678
1404036.036	911038.825
1404132.980	916620.858
1404637.089	916622.797
1398742.896	914080.926
1447939.599	924719.668
1449251.948	923463.563
1449626.905	923126.102
1450695.531	922113.719
1446072.313	926457.593
1446672.245	927563.716
1446653.497	932100.693
1442716.451	929757.213
1449278.195	924132.861
1441779.059	930600.866
1444216.278	928257.386
1453308.980	926495.089
1403977.870	908681.148
1409115.900	908700.537
1419881.582	924526.566
1425157.224	924432.826
1435768.502	924357.835
1433038.816	919044.697
1430414.119	919119.689
1427808.169	919138.436
1433057.564	921800.630
1436855.876	924331.588
1433076.312	924369.084
1430451.614	924350.336
1434849.857	927949.921
1435731.006	927481.225
1435693.510	921688.143
1427781.922	924387.831
1433106.308	928306.130
1432304.894	908487.260
1443810.616	903165.302
1443730.010	902493.584
1443649.404	901633.785
1435615.653	908114.523
