0 0.119 0.016
10 0.197 0.017
20 0.267 0.034
30 0.332 0.048
40 0.392 0.062
50 0.443 0.071
60 0.486 0.08
70 0.536 0.097
80 0.568 0.1
90 0.601 0.105
100 0.634 0.104
110 0.665 0.106
120 0.692 0.099
130 0.715 0.101
140 0.736 0.102
150 0.757 0.104
160 0.776 0.103
170 0.793 0.094
180 0.804 0.092
190 0.819 0.085
200 0.828 0.081
210 0.839 0.078
220 0.854 0.072
230 0.865 0.07
240 0.873 0.066
250 0.882 0.062
260 0.888 0.061
270 0.895 0.062
280 0.9 0.06
290 0.906 0.059
300 0.911 0.056
310 0.916 0.056
320 0.921 0.056
330 0.924 0.055
340 0.928 0.056
350 0.93 0.056
360 0.935 0.054
370 0.938 0.055
380 0.94 0.055
390 0.942 0.05
400 0.947 0.047
410 0.949 0.047
420 0.952 0.041
430 0.954 0.042
440 0.955 0.041
450 0.956 0.041
460 0.958 0.041
470 0.959 0.039
480 0.961 0.036
490 0.963 0.034
500 0.965 0.034
510 0.967 0.031
520 0.967 0.031
530 0.968 0.03
540 0.969 0.029
550 0.971 0.028
560 0.972 0.024
570 0.975 0.02
580 0.976 0.02
590 0.976 0.019
600 0.978 0.018
610 0.978 0.018
620 0.979 0.015
630 0.979 0.014
640 0.98 0.013
650 0.98 0.013
660 0.982 0.011
670 0.982 0.011
680 0.983 0.01
690 0.983 0.01
700 0.985 0.009
710 0.985 0.009
720 0.986 0.008
730 0.986 0.007
740 0.987 0.007
750 0.987 0.007
760 0.988 0.007
770 0.988 0.007
780 0.988 0.007
790 0.988 0.007
800 0.988 0.007
810 0.988 0.007
820 0.989 0.007
830 0.989 0.007
840 0.99 0.007
850 0.99 0.007
860 0.99 0.007
870 0.99 0.007
880 0.99 0.007
890 0.99 0.007
900 0.99 0.007
910 0.99 0.007
920 0.99 0.007
930 0.99 0.007
940 0.991 0.006
950 0.991 0.006
960 0.991 0.006
970 0.991 0.006
980 0.992 0.005
990 0.992 0.005
1000 0.992 0.005
