boise60k10pProbSet
Problem reading probability file. File boise60k10pProbSet does not exist.
testName run time fitness gens maxGens popSize cPopSize agents groupSize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
boise60k10p 0 4.000000 0.076731 0 1000 10 10 1603 50 0.0162196 0.0205864 0.0249532 0.0280724 0.0324392 0.0386775 0.0424205 0.0480349 0.0573924 0.0648784 0.0767311
boise60k10p 0 4.000000 0.121647 10 1000 10 10 1603 50 0.0162196 0.0218341 0.025577 0.0324392 0.0436681 0.0586401 0.066126 0.0761073 0.0948222 0.116032 0.121647
boise60k10p 0 4.000000 0.174049 20 1000 10 10 1603 50 0.0187149 0.0249532 0.0318153 0.044292 0.0586401 0.0742358 0.0960699 0.118528 0.145976 0.16282 0.174049
boise60k10p 0 4.000000 0.212102 30 1000 10 10 1603 50 0.0180911 0.0268247 0.033063 0.0467873 0.0605115 0.0848409 0.115409 0.144729 0.17592 0.208983 0.212102
boise60k10p 0 4.000000 0.248908 40 1000 10 10 1603 50 0.0193387 0.0268247 0.0430443 0.0611354 0.0929507 0.116032 0.143481 0.172801 0.203993 0.243918 0.248908
boise60k10p 0 4.000000 0.273238 50 1000 10 10 1603 50 0.0187149 0.0286962 0.040549 0.0598877 0.0848409 0.109794 0.143481 0.180911 0.22146 0.267623 0.273238
boise60k10p 0 4.000000 0.287586 60 1000 10 10 1603 50 0.0193387 0.0268247 0.0374298 0.0567686 0.0817218 0.110418 0.139738 0.177792 0.217717 0.268247 0.287586
boise60k10p 0 4.000000 0.336245 70 1000 10 10 1603 50 0.0187149 0.025577 0.040549 0.0711167 0.0985652 0.134124 0.173425 0.223331 0.286338 0.341859 0.336245
boise60k10p 0 4.000000 0.385527 80 1000 10 10 1603 50 0.0174672 0.0268247 0.0411728 0.0598877 0.0966937 0.139738 0.190892 0.247037 0.305677 0.374298 0.385527
boise60k10p 0 4.000000 0.426700 90 1000 10 10 1603 50 0.0237056 0.0336868 0.0474111 0.0692452 0.101061 0.155958 0.20524 0.273238 0.344354 0.419214 0.4267
boise60k10p 0 4.000000 0.464754 100 1000 10 10 1603 50 0.0224579 0.0311915 0.0467873 0.069869 0.109794 0.151591 0.218341 0.273861 0.349969 0.433562 0.464754
boise60k10p 0 4.000000 0.514660 110 1000 10 10 1603 50 0.0249532 0.0361822 0.0492826 0.0723643 0.112913 0.159077 0.227698 0.311915 0.407361 0.480349 0.51466
boise60k10p 0 4.000000 0.533375 120 1000 10 10 1603 50 0.0218341 0.033063 0.0524017 0.069869 0.116656 0.173425 0.257642 0.338116 0.427324 0.517155 0.533375
boise60k10p 0 4.000000 0.533375 130 1000 10 10 1603 50 0.0230817 0.0361822 0.0474111 0.0723643 0.116032 0.170306 0.24267 0.331254 0.427948 0.522146 0.533375
boise60k10p 0 4.000000 0.576419 140 1000 10 10 1603 50 0.0212102 0.036806 0.0505303 0.0729881 0.120399 0.180911 0.272614 0.356207 0.454148 0.540237 0.576419
