0.094198 0.126638 0.157205 0.205240 0.232065 0.253899 0.285714 0.313787 0.333749 0.386775 0.412352 0.423581 0.486588 0.487211 0.512165 0.536494 0.536494 0.537118 0.559576 0.575795 0.580786 0.589520 0.622583 0.626949 0.645664 0.656893 0.659389 0.659389 0.659389 0.665627 0.693075 0.706176 0.719276 0.766064 0.774797 0.792888 0.803493 0.809732 0.817842 0.841547 0.844666 0.857143 0.870867 0.870867 0.870867 0.870867 0.870867 0.873362 0.873362 0.873362 0.873986 0.873986 0.873986 0.874610 0.874610 0.874610 0.874610 0.874610 0.874610 0.874610 0.874610 0.874610 0.874610 0.874610 0.878353 0.880848 0.880848 0.880848 0.895820 0.895820 0.895820 0.898939 0.898939 0.898939 0.900187 0.900187 0.900187 0.900187 0.900187 0.900187 0.900187 0.900187 0.900187 0.900187 0.900187 0.900187 0.900187 0.907049 0.915783 0.915783 0.915783 0.915783 0.915783 0.915783 0.920150 0.922645 0.922645 0.925140 0.925140 0.925140 0.925140 
0.091703 0.127261 0.172177 0.203369 0.275733 0.310667 0.322520 0.359950 0.421085 0.447286 0.461634 0.472863 0.482845 0.489083 0.489083 0.489083 0.489083 0.489083 0.494697 0.501560 0.503431 0.520274 0.520274 0.520274 0.520274 0.520274 0.520274 0.520274 0.524641 0.524641 0.531503 0.531503 0.531503 0.531503 0.531503 0.531503 0.531503 0.531503 0.533375 0.533375 0.533375 0.533375 0.533375 0.533375 0.533375 0.543356 0.555209 0.555209 0.555209 0.557080 0.557080 0.557704 0.572676 0.583281 0.595134 0.603244 0.621335 0.641921 0.641921 0.663755 0.700561 0.700561 0.700561 0.705552 0.706176 0.717405 0.734872 0.739863 0.739863 0.741734 0.746101 0.759202 0.759202 0.759202 0.759202 0.759202 0.759202 0.759825 0.760449 0.760449 0.770430 0.771678 0.771678 0.771678 0.771678 0.771678 0.771678 0.771678 0.783531 0.783531 0.783531 0.783531 0.783531 0.783531 0.783531 0.783531 0.783531 0.783531 0.783531 0.783531 0.783531 
0.097318 0.132876 0.167187 0.200873 0.268247 0.301934 0.317530 0.331878 0.380536 0.398628 0.400499 0.404242 0.411728 0.422957 0.429195 0.441048 0.467249 0.467249 0.469120 0.491578 0.508422 0.522770 0.522770 0.547099 0.562071 0.562071 0.582034 0.582034 0.583905 0.603868 0.611978 0.633812 0.643169 0.655022 0.677480 0.683094 0.701809 0.712414 0.734248 0.762321 0.762321 0.780412 0.780412 0.780412 0.780412 0.786026 0.794760 0.794760 0.799127 0.799750 0.799750 0.804741 0.804741 0.805365 0.814099 0.814099 0.814099 0.814099 0.814722 0.814722 0.814722 0.824080 0.824080 0.824080 0.824080 0.831566 0.831566 0.834061 0.835309 0.835309 0.835933 0.843419 0.844666 0.847785 0.847785 0.849657 0.862134 0.862134 0.862134 0.865876 0.865876 0.865876 0.869619 0.869619 0.869619 0.873362 0.873362 0.873362 0.873362 0.878353 0.878353 0.878353 0.880848 0.880848 0.884591 0.892077 0.892077 0.892077 0.892077 0.892077 0.892077 
0.094198 0.129133 0.174049 0.216469 0.237056 0.265752 0.272614 0.281971 0.306301 0.307548 0.326887 0.349345 0.361198 0.393637 0.404866 0.437305 0.452277 0.461011 0.519651 0.565190 0.595758 0.595758 0.603244 0.603868 0.628821 0.640050 0.669994 0.676232 0.676232 0.676232 0.676232 0.681847 0.691204 0.701185 0.704928 0.704928 0.735496 0.735496 0.735496 0.737367 0.746725 0.746725 0.746725 0.746725 0.746725 0.746725 0.746725 0.746725 0.746725 0.746725 0.752339 0.752339 0.752339 0.752339 0.752339 0.752339 0.752339 0.763568 0.771678 0.776045 0.776045 0.784155 0.784155 0.789769 0.812227 0.814099 0.814099 0.814099 0.814099 0.814099 0.814099 0.814099 0.814099 0.816594 0.816594 0.816594 0.816594 0.816594 0.816594 0.816594 0.816594 0.817842 0.817842 0.820337 0.820337 0.821585 0.822208 0.822208 0.822208 0.822208 0.822208 0.822208 0.822208 0.831566 0.831566 0.831566 0.831566 0.831566 0.831566 0.831566 0.831566 
0.096070 0.131004 0.150967 0.172177 0.195259 0.199002 0.223331 0.238303 0.249532 0.270119 0.300062 0.346226 0.371803 0.394885 0.423581 0.439800 0.451029 0.466625 0.492202 0.550218 0.555833 0.571429 0.608858 0.635059 0.636307 0.636307 0.667498 0.667498 0.667498 0.667498 0.671241 0.671865 0.677480 0.681223 0.701185 0.706800 0.706800 0.707424 0.717405 0.744853 0.744853 0.764816 0.764816 0.769183 0.797879 0.804117 0.809732 0.819089 0.819089 0.819089 0.819089 0.819089 0.819089 0.819089 0.819089 0.819089 0.819089 0.825328 0.837180 0.859014 0.859014 0.859014 0.859014 0.859014 0.859014 0.859014 0.859014 0.859014 0.871491 0.883968 0.885215 0.886463 0.892701 0.892701 0.892701 0.894573 0.898939 0.900811 0.905178 0.907049 0.907049 0.907049 0.907049 0.922645 0.925140 0.930755 0.932002 0.932002 0.939488 0.939488 0.939488 0.940112 0.940112 0.940112 0.940112 0.940736 0.940736 0.940736 0.945103 0.945103 0.945103 
0.092951 0.124766 0.148472 0.170306 0.174049 0.184654 0.190892 0.196507 0.217717 0.238303 0.266376 0.315658 0.358702 0.375546 0.416095 0.433562 0.440424 0.440424 0.440424 0.466625 0.469120 0.472240 0.479726 0.489707 0.497817 0.500312 0.507798 0.507798 0.507798 0.507798 0.507798 0.510917 0.510917 0.510917 0.510917 0.510917 0.510917 0.510917 0.510917 0.510917 0.512789 0.512789 0.512789 0.512789 0.512789 0.512789 0.512789 0.512789 0.512789 0.512789 0.512789 0.512789 0.512789 0.517779 0.517779 0.517779 0.517779 0.518403 0.518403 0.518403 0.519027 0.519027 0.519027 0.522770 0.525889 0.529008 0.532127 0.533999 0.540861 0.540861 0.545852 0.546475 0.546475 0.546475 0.553338 0.553338 0.564566 0.565814 0.571429 0.575172 0.591391 0.592015 0.616968 0.616968 0.628197 0.628197 0.628197 0.631940 0.631940 0.644417 0.644417 0.644417 0.656893 0.661884 0.669994 0.707424 0.725515 0.725515 0.730505 0.752339 0.770430 
0.094198 0.159077 0.215221 0.254523 0.270742 0.283219 0.293824 0.293824 0.300686 0.305053 0.305677 0.312539 0.320025 0.323144 0.323144 0.323144 0.327511 0.349969 0.363693 0.363693 0.363693 0.374298 0.381160 0.389270 0.402371 0.461011 0.477854 0.495945 0.565814 0.610106 0.610106 0.621335 0.635059 0.665627 0.668746 0.691204 0.709919 0.719900 0.735496 0.744230 0.762321 0.770430 0.770430 0.770430 0.785402 0.794760 0.807860 0.815346 0.818465 0.818465 0.826575 0.834061 0.835309 0.835309 0.835309 0.858391 0.868996 0.868996 0.868996 0.876482 0.880225 0.889582 0.889582 0.893949 0.920774 0.920774 0.923893 0.923893 0.923893 0.936369 0.941360 0.942608 0.942608 0.950717 0.950717 0.950717 0.950717 0.950717 0.950717 0.950717 0.950717 0.950717 0.950717 0.950717 0.950717 0.950717 0.950717 0.950717 0.950717 0.950717 0.950717 0.950717 0.952589 0.952589 0.952589 0.952589 0.953837 0.953837 0.953837 0.955084 0.955084 
0.096070 0.133500 0.151591 0.185278 0.234560 0.262009 0.316282 0.350593 0.409857 0.454148 0.470368 0.474111 0.487835 0.507798 0.530880 0.538989 0.568933 0.601996 0.615721 0.648784 0.679975 0.700561 0.709919 0.723643 0.723643 0.734248 0.735496 0.756082 0.784155 0.786026 0.797879 0.810356 0.820961 0.820961 0.822832 0.844666 0.862757 0.868996 0.872739 0.876482 0.877729 0.877729 0.878977 0.880848 0.880848 0.880848 0.881472 0.895820 0.910792 0.910792 0.913911 0.913911 0.913911 0.936369 0.936369 0.940112 0.940112 0.940112 0.940112 0.943231 0.943231 0.943231 0.943231 0.943231 0.943231 0.943231 0.943231 0.943231 0.943231 0.943231 0.943231 0.943231 0.943231 0.944479 0.944479 0.944479 0.948846 0.948846 0.948846 0.948846 0.948846 0.948846 0.948846 0.948846 0.948846 0.948846 0.948846 0.948846 0.948846 0.948846 0.948846 0.948846 0.948846 0.948846 0.956956 0.956956 0.958827 0.960075 0.960075 0.960075 0.960075 
0.092327 0.117904 0.152215 0.192764 0.235808 0.257018 0.292576 0.329382 0.364941 0.409857 0.439800 0.451029 0.462882 0.473487 0.493450 0.502183 0.512165 0.545228 0.557080 0.587648 0.613849 0.638802 0.653150 0.653150 0.682470 0.693075 0.693075 0.693075 0.716781 0.720524 0.720524 0.743606 0.747973 0.754211 0.764816 0.770430 0.770430 0.770430 0.774797 0.774797 0.779164 0.779164 0.779164 0.787274 0.787274 0.794136 0.794136 0.797255 0.800998 0.800998 0.800998 0.800998 0.800998 0.800998 0.806613 0.812227 0.812227 0.812227 0.812227 0.813475 0.817842 0.828447 0.839676 0.839676 0.839676 0.840299 0.840299 0.845914 0.848409 0.848409 0.848409 0.848409 0.849657 0.849657 0.849657 0.849657 0.849657 0.849657 0.849657 0.849657 0.850905 0.850905 0.852152 0.852152 0.852152 0.852152 0.852152 0.852152 0.852152 0.852152 0.852152 0.852152 0.852152 0.852152 0.852152 0.852152 0.852152 0.852152 0.852152 0.852152 0.852152 
0.089208 0.123518 0.169682 0.194635 0.217093 0.263256 0.351840 0.368684 0.404242 0.443543 0.447910 0.461634 0.472240 0.473487 0.495321 0.495321 0.502807 0.510293 0.520274 0.526513 0.551466 0.568309 0.595134 0.595134 0.600749 0.601372 0.630692 0.637555 0.637555 0.645664 0.665003 0.665003 0.695571 0.695571 0.695571 0.701185 0.703057 0.703057 0.712414 0.716157 0.717405 0.719276 0.720524 0.727386 0.738615 0.745477 0.745477 0.745477 0.749844 0.749844 0.756706 0.756706 0.761697 0.766687 0.766687 0.767935 0.769807 0.771054 0.777916 0.777916 0.780412 0.782283 0.782283 0.782283 0.782283 0.786650 0.786650 0.786650 0.786650 0.787898 0.787898 0.793512 0.793512 0.793512 0.799127 0.799127 0.799127 0.799127 0.799127 0.799127 0.799127 0.799127 0.799127 0.799127 0.799127 0.799127 0.799127 0.799127 0.801622 0.801622 0.801622 0.801622 0.802870 0.807236 0.807860 0.807860 0.810356 0.810979 0.810979 0.810979 0.810979 
