boise60k30pProbSet
Problem reading probability file. File boise60k30pProbSet does not exist.
testName run time fitness gens maxGens popSize cPopSize agents groupSize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
boise60k30p 0 4.000000 0.106675 0 1000 30 30 1603 50 0.0187149 0.0212102 0.0280724 0.0336868 0.0399251 0.0505303 0.0648784 0.0748596 0.0910792 0.108546 0.106675
boise60k30p 0 4.000000 0.191516 10 1000 30 30 1603 50 0.0212102 0.0286962 0.0349345 0.0467873 0.0636307 0.0879601 0.114161 0.139738 0.170306 0.197754 0.191516
boise60k30p 0 4.000000 0.234560 20 1000 30 30 1603 50 0.0168434 0.0262009 0.0343107 0.0517779 0.0742358 0.107299 0.131004 0.165315 0.194635 0.230193 0.23456
boise60k30p 0 4.000000 0.259513 30 1000 30 30 1603 50 0.0187149 0.0305677 0.0386775 0.0592639 0.0892077 0.119775 0.155958 0.187149 0.222084 0.262633 0.259513
boise60k30p 0 4.000000 0.286962 40 1000 30 30 1603 50 0.0180911 0.0268247 0.0349345 0.0567686 0.0917031 0.127261 0.169682 0.202121 0.237056 0.286962 0.286962
boise60k30p 0 4.000000 0.296319 50 1000 30 30 1603 50 0.0199626 0.033063 0.044292 0.0673737 0.102308 0.139114 0.175296 0.211478 0.257018 0.303182 0.296319
boise60k30p 0 4.000000 0.325639 60 1000 30 30 1603 50 0.0187149 0.02932 0.0417966 0.0655022 0.0966937 0.145352 0.181535 0.225203 0.264504 0.306925 0.325639
boise60k30p 0 4.000000 0.358079 70 1000 30 30 1603 50 0.0212102 0.0305677 0.0436681 0.0655022 0.100437 0.1466 0.189021 0.228946 0.276357 0.332502 0.358079
boise60k30p 0 4.000000 0.415471 80 1000 30 30 1603 50 0.0199626 0.0311915 0.0486588 0.069869 0.110418 0.161572 0.218341 0.275109 0.336245 0.402994 0.415471
boise60k30p 0 4.000000 0.437929 90 1000 30 30 1603 50 0.0199626 0.0311915 0.0467873 0.0655022 0.116032 0.177168 0.237679 0.295072 0.365565 0.425452 0.437929
boise60k30p 0 4.000000 0.454772 100 1000 30 30 1603 50 0.0199626 0.0349345 0.0467873 0.073612 0.131004 0.191516 0.248908 0.308796 0.363069 0.431067 0.454772
boise60k30p 0 4.000000 0.467873 110 1000 30 30 1603 50 0.0199626 0.02932 0.0467873 0.0761073 0.131004 0.195883 0.245165 0.304429 0.372427 0.439177 0.467873
boise60k30p 0 4.000000 0.473487 120 1000 30 30 1603 50 0.0199626 0.0355583 0.0542732 0.0823456 0.135371 0.202121 0.258266 0.318153 0.393013 0.46912 0.473487
boise60k30p 0 4.000000 0.485340 130 1000 30 30 1603 50 0.0212102 0.033063 0.0467873 0.0786026 0.141609 0.201497 0.266999 0.328135 0.401747 0.476606 0.48534
boise60k30p 0 4.000000 0.500936 140 1000 30 30 1603 50 0.0180911 0.0299439 0.0486588 0.0817218 0.137243 0.211478 0.276981 0.331878 0.413599 0.492826 0.500936
boise60k30p 0 4.000000 0.516532 150 1000 30 30 1603 50 0.0212102 0.0318153 0.0505303 0.0885839 0.142233 0.207112 0.276357 0.347473 0.424828 0.503431 0.516532
boise60k30p 0 4.000000 0.530880 160 1000 30 30 1603 50 0.0224579 0.036806 0.0567686 0.0873362 0.140362 0.225203 0.289457 0.361822 0.44292 0.51466 0.53088
boise60k30p 0 4.000000 0.543980 170 1000 30 30 1603 50 0.0212102 0.0349345 0.0536494 0.0854648 0.147224 0.227698 0.294448 0.372427 0.457268 0.538366 0.54398
boise60k30p 0 4.000000 0.576419 180 1000 30 30 1603 50 0.0249532 0.0386775 0.0573924 0.0948222 0.150967 0.222084 0.298191 0.381784 0.474111 0.577043 0.576419
boise60k30p 0 4.000000 0.613849 190 1000 30 30 1603 50 0.0218341 0.0336868 0.0555209 0.0898316 0.1466 0.22957 0.313163 0.41048 0.51466 0.606987 0.613849
boise60k30p 0 4.000000 0.636307 200 1000 30 30 1603 50 0.0218341 0.0336868 0.0480349 0.0867124 0.155958 0.232065 0.321273 0.417966 0.517155 0.620711 0.636307
boise60k30p 0 4.000000 0.678727 210 1000 30 30 1603 50 0.0218341 0.0336868 0.0555209 0.0929507 0.153462 0.240799 0.33063 0.432938 0.553961 0.666251 0.678727
boise60k30p 0 4.000000 0.689956 220 1000 30 30 1603 50 0.0224579 0.036806 0.0598877 0.100437 0.158453 0.235808 0.328759 0.429195 0.548971 0.65315 0.689956
boise60k30p 0 4.000000 0.696818 230 1000 30 30 1603 50 0.0218341 0.0386775 0.0580162 0.0935745 0.161572 0.248908 0.343107 0.458515 0.562071 0.663755 0.696818
boise60k30p 0 4.000000 0.718029 240 1000 30 30 1603 50 0.0249532 0.0386775 0.0592639 0.0935745 0.160948 0.251404 0.343731 0.463506 0.588896 0.704304 0.718029
boise60k30p 0 4.000000 0.729258 250 1000 30 30 1603 50 0.0243294 0.040549 0.066126 0.0935745 0.157829 0.245165 0.359326 0.465377 0.595134 0.720524 0.729258
boise60k30p 0 4.000000 0.763568 260 1000 30 30 1603 50 0.0205864 0.0411728 0.0586401 0.0892077 0.148472 0.245789 0.356207 0.467873 0.600125 0.729258 0.763568
boise60k30p 0 4.000000 0.772302 270 1000 30 30 1603 50 0.0249532 0.044292 0.066126 0.0985652 0.162196 0.25889 0.378665 0.50156 0.626326 0.760449 0.772302
boise60k30p 0 4.000000 0.784155 280 1000 30 30 1603 50 0.0224579 0.0449158 0.0617592 0.099189 0.164067 0.263256 0.378665 0.508422 0.641921 0.771678 0.784155
boise60k30p 0 4.000000 0.797255 290 1000 30 30 1603 50 0.0224579 0.0417966 0.0679975 0.107299 0.170306 0.274485 0.392389 0.515284 0.65315 0.768559 0.797255
boise60k30p 0 4.000000 0.797255 300 1000 30 30 1603 50 0.0218341 0.0361822 0.0642545 0.099189 0.17093 0.270742 0.402994 0.517155 0.644417 0.77854 0.797255
boise60k30p 0 4.000000 0.797255 310 1000 30 30 1603 50 0.0224579 0.0417966 0.0655022 0.105427 0.185278 0.295696 0.409233 0.524017 0.660636 0.774173 0.797255
boise60k30p 0 4.000000 0.813475 320 1000 30 30 1603 50 0.0218341 0.0374298 0.0655022 0.104803 0.18403 0.291953 0.420462 0.555833 0.69869 0.804117 0.813475
boise60k30p 0 4.000000 0.814099 330 1000 30 30 1603 50 0.0268247 0.0430443 0.0692452 0.105427 0.18403 0.285714 0.412976 0.552714 0.66937 0.811603 0.814099
boise60k30p 0 4.000000 0.833437 340 1000 30 30 1603 50 0.0230817 0.044292 0.0686213 0.108546 0.199002 0.326263 0.465377 0.595134 0.708671 0.827199 0.833437
boise60k30p 0 4.000000 0.833437 350 1000 30 30 1603 50 0.0230817 0.0417966 0.0636307 0.106675 0.184654 0.299439 0.428571 0.580162 0.707424 0.821585 0.833437
boise60k30p 0 4.000000 0.833437 360 1000 30 30 1603 50 0.0249532 0.044292 0.0673737 0.0979414 0.169682 0.295072 0.4398 0.592015 0.723643 0.809732 0.833437
boise60k30p 0 4.000000 0.840923 370 1000 30 30 1603 50 0.0224579 0.0424205 0.066126 0.103556 0.180287 0.291953 0.428571 0.58141 0.704304 0.820961 0.840923
boise60k30p 0 4.000000 0.853400 380 1000 30 30 1603 50 0.0268247 0.040549 0.069869 0.105427 0.180287 0.300062 0.451029 0.599501 0.721148 0.828447 0.8534
boise60k30p 0 4.000000 0.860886 390 1000 30 30 1603 50 0.0243294 0.0449158 0.0704928 0.104803 0.181535 0.310667 0.453525 0.59451 0.734872 0.852152 0.860886
boise60k30p 0 4.000000 0.881472 400 1000 30 30 1603 50 0.0218341 0.0449158 0.0711167 0.110418 0.197754 0.320649 0.457268 0.614473 0.754835 0.867748 0.881472
boise60k30p 0 4.000000 0.887711 410 1000 30 30 1603 50 0.0218341 0.044292 0.0711167 0.114161 0.207112 0.338116 0.484716 0.626949 0.769807 0.878977 0.887711
boise60k30p 0 4.000000 0.900187 420 1000 30 30 1603 50 0.0243294 0.0455396 0.0679975 0.105427 0.202745 0.331878 0.468497 0.617592 0.764816 0.907673 0.900187
boise60k30p 0 4.000000 0.900187 430 1000 30 30 1603 50 0.025577 0.0492826 0.069869 0.104803 0.199002 0.320025 0.465377 0.625078 0.766064 0.891454 0.900187
boise60k30p 0 4.000000 0.900187 440 1000 30 30 1603 50 0.0249532 0.0461634 0.0711167 0.113537 0.196507 0.32252 0.459139 0.611354 0.759202 0.875858 0.900187
boise60k30p 0 4.000000 0.918902 450 1000 30 30 1603 50 0.0237056 0.0411728 0.0642545 0.0998129 0.198378 0.335621 0.479102 0.608235 0.774797 0.895196 0.918902
boise60k30p 0 4.000000 0.918902 460 1000 30 30 1603 50 0.025577 0.044292 0.069869 0.113537 0.200873 0.334373 0.481597 0.617592 0.779788 0.906425 0.918902
boise60k30p 0 4.000000 0.918902 470 1000 30 30 1603 50 0.0243294 0.0486588 0.0686213 0.112289 0.203369 0.333125 0.478478 0.608858 0.772302 0.888958 0.918902
boise60k30p 0 4.000000 0.918902 480 1000 30 30 1603 50 0.0230817 0.0486588 0.069869 0.111042 0.199002 0.336868 0.469744 0.608235 0.77043 0.895196 0.918902
