boise60k20pProbSet
Problem reading probability file. File boise60k20pProbSet does not exist.
testName run time fitness gens maxGens popSize cPopSize agents groupSize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
boise60k20p 0 4.000000 0.102932 0 1000 20 20 1603 50 0.0187149 0.0237056 0.0262009 0.0336868 0.0417966 0.0486588 0.0555209 0.069869 0.0860886 0.095446 0.102932
boise60k20p 0 4.000000 0.147848 10 1000 20 20 1603 50 0.0180911 0.0262009 0.0324392 0.040549 0.0542732 0.0667498 0.0823456 0.0998129 0.120399 0.139114 0.147848
boise60k20p 0 4.000000 0.189021 20 1000 20 20 1603 50 0.0168434 0.0249532 0.0311915 0.0436681 0.0592639 0.0829694 0.106675 0.129133 0.157829 0.189021 0.189021
boise60k20p 0 4.000000 0.270119 30 1000 20 20 1603 50 0.0193387 0.0318153 0.0374298 0.0530256 0.073612 0.100437 0.135995 0.174049 0.220212 0.262633 0.270119
boise60k20p 0 4.000000 0.353712 40 1000 20 20 1603 50 0.0187149 0.0318153 0.0424205 0.0586401 0.0810979 0.123518 0.169682 0.218341 0.281347 0.339988 0.353712
boise60k20p 0 4.000000 0.391142 50 1000 20 20 1603 50 0.0212102 0.0311915 0.0399251 0.0536494 0.0835933 0.130381 0.182158 0.239551 0.304429 0.383656 0.391142
boise60k20p 0 4.000000 0.447286 60 1000 20 20 1603 50 0.0218341 0.0324392 0.0399251 0.0617592 0.0848409 0.136619 0.197754 0.257642 0.340611 0.429195 0.447286
boise60k20p 0 4.000000 0.499688 70 1000 20 20 1603 50 0.0224579 0.02932 0.0411728 0.062383 0.0973175 0.154086 0.223955 0.306925 0.384903 0.477854 0.499688
boise60k20p 0 4.000000 0.568309 80 1000 20 20 1603 50 0.0224579 0.0324392 0.0449158 0.066126 0.105427 0.172177 0.252027 0.341859 0.436681 0.555833 0.568309
boise60k20p 0 4.000000 0.621959 90 1000 20 20 1603 50 0.0243294 0.0361822 0.0492826 0.0761073 0.121647 0.203993 0.295072 0.391142 0.505303 0.603868 0.621959
boise60k20p 0 4.000000 0.621959 100 1000 20 20 1603 50 0.0268247 0.036806 0.0467873 0.0686213 0.119152 0.194011 0.295696 0.401123 0.505926 0.601372 0.621959
boise60k20p 0 4.000000 0.643793 110 1000 20 20 1603 50 0.0249532 0.036806 0.0542732 0.0742358 0.134747 0.22146 0.332502 0.431067 0.529008 0.638802 0.643793
boise60k20p 0 4.000000 0.653150 120 1000 20 20 1603 50 0.025577 0.0386775 0.0524017 0.0761073 0.135371 0.233936 0.326887 0.429195 0.548971 0.652526 0.65315
boise60k20p 0 4.000000 0.660636 130 1000 20 20 1603 50 0.0249532 0.0374298 0.0530256 0.0754835 0.127885 0.211478 0.31753 0.424205 0.532751 0.640674 0.660636
boise60k20p 0 4.000000 0.675608 140 1000 20 20 1603 50 0.0249532 0.0349345 0.0499064 0.0798503 0.145976 0.237056 0.33874 0.440424 0.553338 0.650031 0.675608
boise60k20p 0 4.000000 0.687461 150 1000 20 20 1603 50 0.0268247 0.0393013 0.0542732 0.0885839 0.145976 0.250156 0.354336 0.46413 0.582034 0.678727 0.687461
boise60k20p 0 4.000000 0.706800 160 1000 20 20 1603 50 0.0230817 0.036806 0.0536494 0.0817218 0.144105 0.240799 0.354336 0.469744 0.593886 0.707424 0.7068
boise60k20p 0 4.000000 0.723643 170 1000 20 20 1603 50 0.0274485 0.0361822 0.0536494 0.0879601 0.159701 0.257018 0.372427 0.468497 0.587024 0.696195 0.723643
boise60k20p 0 4.000000 0.733001 180 1000 20 20 1603 50 0.0249532 0.0399251 0.0567686 0.0867124 0.161572 0.272614 0.374298 0.483469 0.60262 0.708047 0.733001
boise60k20p 0 4.000000 0.752339 190 1000 20 20 1603 50 0.0262009 0.0393013 0.0542732 0.0910792 0.164067 0.260761 0.379913 0.482845 0.599501 0.727386 0.752339
boise60k20p 0 4.000000 0.766064 200 1000 20 20 1603 50 0.025577 0.0386775 0.0580162 0.101061 0.171553 0.275109 0.401747 0.510917 0.644417 0.759202 0.766064
boise60k20p 0 4.000000 0.769807 210 1000 20 20 1603 50 0.0262009 0.0386775 0.0605115 0.095446 0.167187 0.275733 0.403618 0.520898 0.640674 0.758578 0.769807
boise60k20p 0 4.000000 0.789145 220 1000 20 20 1603 50 0.0280724 0.0386775 0.0611354 0.0973175 0.169058 0.285714 0.414223 0.53088 0.658141 0.762944 0.789145
boise60k20p 0 4.000000 0.829694 230 1000 20 20 1603 50 0.025577 0.0380537 0.0586401 0.0948222 0.171553 0.288833 0.437305 0.563319 0.709295 0.812851 0.829694
boise60k20p 0 4.000000 0.835309 240 1000 20 20 1603 50 0.0249532 0.0411728 0.0598877 0.0985652 0.177792 0.31441 0.44791 0.579538 0.733624 0.833437 0.835309
boise60k20p 0 4.000000 0.835309 250 1000 20 20 1603 50 0.0274485 0.0399251 0.0567686 0.0960699 0.179039 0.300686 0.443543 0.573924 0.7199 0.814099 0.835309
boise60k20p 0 4.000000 0.842171 260 1000 20 20 1603 50 0.025577 0.040549 0.0586401 0.0973175 0.172177 0.286338 0.424828 0.551466 0.703057 0.819089 0.842171
boise60k20p 0 4.000000 0.842171 270 1000 20 20 1603 50 0.025577 0.0393013 0.0617592 0.0966937 0.172177 0.291953 0.4267 0.563943 0.712414 0.817218 0.842171
boise60k20p 0 4.000000 0.857143 280 1000 20 20 1603 50 0.0243294 0.0455396 0.0573924 0.0985652 0.180911 0.304429 0.444791 0.582034 0.716781 0.835309 0.857143
boise60k20p 0 4.000000 0.857143 290 1000 20 20 1603 50 0.0274485 0.0424205 0.0586401 0.0960699 0.178415 0.310044 0.44791 0.584529 0.72801 0.846538 0.857143
boise60k20p 0 4.000000 0.866500 300 1000 20 20 1603 50 0.0280724 0.0424205 0.0592639 0.101061 0.179663 0.310044 0.444791 0.579538 0.7199 0.839052 0.8665
boise60k20p 0 4.000000 0.867124 310 1000 20 20 1603 50 0.0274485 0.0399251 0.0598877 0.101061 0.190268 0.305053 0.455396 0.601996 0.74111 0.860262 0.867124
boise60k20p 0 4.000000 0.878977 320 1000 20 20 1603 50 0.0274485 0.040549 0.0642545 0.0979414 0.194635 0.327511 0.470368 0.62383 0.76544 0.867124 0.878977
boise60k20p 0 4.000000 0.879601 330 1000 20 20 1603 50 0.025577 0.0449158 0.0673737 0.0966937 0.175296 0.296319 0.424205 0.568933 0.730505 0.855895 0.879601
boise60k20p 0 4.000000 0.882720 340 1000 20 20 1603 50 0.0268247 0.0417966 0.062383 0.0979414 0.174049 0.31441 0.467249 0.613225 0.763568 0.880225 0.88272
boise60k20p 0 4.000000 0.890206 350 1000 20 20 1603 50 0.0268247 0.0436681 0.0648784 0.101061 0.178415 0.321273 0.454772 0.592015 0.754835 0.877729 0.890206
boise60k20p 0 4.000000 0.890206 360 1000 20 20 1603 50 0.025577 0.0430443 0.066126 0.103556 0.194635 0.326887 0.446663 0.600125 0.757954 0.872739 0.890206
boise60k20p 0 4.000000 0.890206 370 1000 20 20 1603 50 0.0262009 0.0455396 0.0642545 0.105427 0.187773 0.310667 0.449158 0.593886 0.750468 0.871491 0.890206
boise60k20p 0 4.000000 0.902059 380 1000 20 20 1603 50 0.0262009 0.0449158 0.066126 0.0985652 0.193387 0.315034 0.454772 0.60262 0.759202 0.884591 0.902059
boise60k20p 0 4.000000 0.902059 390 1000 20 20 1603 50 0.0268247 0.0436681 0.0655022 0.108546 0.201497 0.328135 0.467873 0.603244 0.766064 0.888958 0.902059
