0 0.11 0.014
10 0.184 0.02
20 0.232 0.02
30 0.28 0.033
40 0.324 0.048
50 0.355 0.054
60 0.39 0.061
70 0.421 0.066
80 0.453 0.055
90 0.481 0.057
100 0.506 0.055
110 0.537 0.054
120 0.56 0.061
130 0.586 0.068
140 0.616 0.084
150 0.636 0.091
160 0.655 0.098
170 0.675 0.097
180 0.698 0.099
190 0.718 0.1
200 0.733 0.101
210 0.744 0.098
220 0.757 0.095
230 0.775 0.095
240 0.787 0.088
250 0.804 0.082
260 0.823 0.074
270 0.834 0.072
280 0.847 0.071
290 0.857 0.071
300 0.862 0.069
310 0.867 0.068
320 0.872 0.064
330 0.879 0.068
340 0.883 0.066
350 0.889 0.064
360 0.894 0.064
370 0.899 0.064
380 0.903 0.062
390 0.909 0.062
400 0.913 0.059
410 0.916 0.06
420 0.918 0.058
430 0.922 0.055
440 0.923 0.054
450 0.927 0.055
460 0.929 0.055
470 0.93 0.055
480 0.931 0.055
490 0.932 0.055
500 0.934 0.054
510 0.937 0.055
520 0.939 0.055
530 0.939 0.055
540 0.942 0.052
550 0.943 0.052
560 0.945 0.051
570 0.948 0.049
580 0.95 0.049
590 0.951 0.049
600 0.951 0.049
610 0.951 0.049
620 0.952 0.05
630 0.953 0.05
640 0.953 0.049
650 0.954 0.048
660 0.955 0.048
670 0.956 0.047
680 0.956 0.047
690 0.956 0.047
700 0.956 0.047
710 0.956 0.047
720 0.957 0.044
730 0.958 0.044
740 0.959 0.044
750 0.96 0.044
760 0.961 0.044
770 0.962 0.044
780 0.963 0.043
790 0.964 0.041
800 0.965 0.04
810 0.966 0.037
820 0.968 0.035
830 0.969 0.035
840 0.969 0.035
850 0.969 0.033
860 0.97 0.031
870 0.971 0.031
880 0.972 0.029
890 0.973 0.027
900 0.974 0.025
910 0.975 0.024
920 0.977 0.019
930 0.977 0.019
940 0.978 0.017
950 0.979 0.017
960 0.98 0.015
970 0.981 0.014
980 0.982 0.013
990 0.982 0.013
1000 0.982 0.013
