./sim < tests/capacity.slang
testName time fitness gens maxGens agents groupsize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
capacityTest 1.000000 1.000000 56 100 500 10 0 0.002 0.114 0.282 0.486 0.722 0.882 0.962 0.986 0.996 1
capacityTest 1.000000 1.000000 37 100 500 10 0 0.002 0.104 0.258 0.454 0.692 0.84 0.918 0.974 0.984 1
capacityTest 1.000000 1.000000 51 100 500 10 0 0.002 0.062 0.218 0.428 0.668 0.836 0.952 0.99 0.994 1
capacityTest 1.000000 1.000000 46 100 500 10 0 0 0.106 0.282 0.428 0.614 0.778 0.934 0.986 0.994 1
capacityTest 1.000000 1.000000 36 100 500 10 0 0.002 0.11 0.324 0.504 0.698 0.86 0.958 0.986 0.996 1
capacityTest 1.000000 1.000000 46 100 500 10 0 0 0.104 0.224 0.43 0.648 0.814 0.93 0.978 0.994 1
capacityTest 1.000000 1.000000 38 100 500 10 0 0.002 0.066 0.18 0.392 0.642 0.812 0.94 0.98 0.998 1
capacityTest 1.000000 1.000000 54 100 500 10 0 0.002 0.06 0.162 0.382 0.62 0.816 0.944 0.99 1 1
capacityTest 1.000000 1.000000 43 100 500 10 0 0.002 0.08 0.2 0.396 0.63 0.768 0.896 0.958 0.986 1
capacityTest 1.000000 1.000000 51 100 500 10 0 0.002 0.106 0.24 0.448 0.678 0.832 0.932 0.976 0.986 1
capacityTest 1.000000 1.000000 46 100 500 10 0 0.002 0.102 0.238 0.362 0.564 0.772 0.908 0.974 0.99 1
capacityTest 1.000000 1.000000 39 100 500 10 0 0.002 0.106 0.312 0.464 0.642 0.79 0.922 0.982 0.996 1
capacityTest 1.000000 1.000000 47 100 500 10 0 0.002 0.108 0.276 0.428 0.608 0.808 0.918 0.984 0.996 1
capacityTest 1.000000 1.000000 42 100 500 10 0 0.002 0.12 0.332 0.512 0.69 0.84 0.952 0.982 0.994 1
capacityTest 1.000000 1.000000 59 100 500 10 0 0 0.12 0.33 0.556 0.768 0.88 0.926 0.966 0.98 1
capacityTest 1.000000 1.000000 46 100 500 10 0 0.002 0.106 0.232 0.432 0.674 0.848 0.94 0.98 0.998 1
capacityTest 1.000000 1.000000 44 100 500 10 0 0.002 0.112 0.29 0.456 0.634 0.816 0.926 0.982 0.998 1
capacityTest 1.000000 1.000000 51 100 500 10 0 0.002 0.08 0.218 0.458 0.668 0.846 0.954 0.986 0.996 1
capacityTest 1.000000 1.000000 36 100 500 10 0 0.002 0.104 0.22 0.412 0.644 0.816 0.936 0.99 0.99 1
capacityTest 1.000000 1.000000 51 100 500 10 0 0.002 0.106 0.274 0.468 0.712 0.86 0.94 0.98 0.992 1
capacityTest 1.000000 1.000000 46 100 500 10 0 0.002 0.1 0.25 0.398 0.592 0.776 0.914 0.972 0.99 1
capacityTest 1.000000 1.000000 48 100 500 10 0 0.002 0.082 0.212 0.41 0.64 0.818 0.926 0.984 0.996 1
capacityTest 1.000000 1.000000 45 100 500 10 0 0.002 0.078 0.202 0.368 0.582 0.766 0.922 0.978 0.99 1
capacityTest 1.000000 1.000000 44 100 500 10 0 0.002 0.114 0.332 0.518 0.704 0.878 0.962 0.99 0.998 1
capacityTest 1.000000 1.000000 41 100 500 10 0 0.002 0.1 0.232 0.412 0.644 0.84 0.944 0.982 0.994 1
capacityTest 1.000000 1.000000 59 100 500 10 0 0 0.08 0.22 0.428 0.66 0.824 0.928 0.974 0.99 1
capacityTest 1.000000 1.000000 54 100 500 10 0 0.002 0.052 0.182 0.414 0.628 0.84 0.928 0.974 0.986 1
capacityTest 1.000000 1.000000 43 100 500 10 0 0.002 0.112 0.258 0.416 0.624 0.814 0.934 0.978 0.988 1
