0 0 0
0.1 0.001 0.001
0.2 0.057 0.036
0.3 0.213 0.059
0.4 0.411 0.083
0.5 0.635 0.084
0.6 0.811 0.061
0.7 0.926 0.029
0.8 0.976 0.011
0.9 0.992 0.005
1 1 0
