boise60k10p40cpProbSet
Problem reading probability file. File boise60k10p40cpProbSet does not exist.
testName run time fitness gens maxGens popSize cPopSize agents groupSize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
boise60k10p40cp 0 4.000000 0.937617 90 100 10 40 1603 50 0.0224579 0.0467873 0.0748596 0.12539 0.224579 0.359326 0.499064 0.661884 0.813475 0.913911 0.937617
boise60k10p40cp 0 4.000000 0.937617 100 100 10 40 1603 50 0.025577 0.0449158 0.066126 0.121647 0.227698 0.368684 0.517155 0.667498 0.813475 0.921397 0.937617
boise60k10p40cpProbSet
testName run time fitness gens maxGens popSize cPopSize agents groupSize e0 e1 e2 e3 e4 e5 e6 e7 e8 e9 e10
boise60k10p40cp 0 5.000000 0.988771 0 100 10 40 1603 50 0.0286962 0.0667498 0.111666 0.223331 0.390518 0.570181 0.774797 0.907673 0.96257 0.989395 0.988771
boise60k10p40cp 0 5.000000 0.995009 10 100 10 40 1603 50 0.02932 0.0580162 0.109794 0.219588 0.391142 0.561447 0.75733 0.906425 0.97879 0.990019 0.995009
boise60k10p40cp 0 5.000000 0.995633 20 100 10 40 1603 50 0.0280724 0.0617592 0.10917 0.228946 0.393637 0.573924 0.756706 0.907049 0.966937 0.988147 0.995633
boise60k10p40cp 0 5.000000 0.996257 30 100 10 40 1603 50 0.02932 0.0567686 0.104803 0.220212 0.383032 0.553338 0.735496 0.883968 0.95758 0.986276 0.996257
boise60k10p40cp 0 5.000000 0.996881 40 100 10 40 1603 50 0.0268247 0.062383 0.10418 0.223331 0.389894 0.575795 0.769807 0.910792 0.977542 0.996257 0.996881
boise60k10p40cp 0 5.000000 0.996881 50 100 10 40 1603 50 0.0280724 0.0586401 0.110418 0.22957 0.402994 0.571429 0.752963 0.906425 0.960075 0.982533 0.996881
boise60k10p40cp 0 5.000000 0.997505 60 100 10 40 1603 50 0.033063 0.0642545 0.111042 0.212726 0.396132 0.570805 0.752339 0.912664 0.973175 0.992514 0.997505
boise60k10p40cp 0 5.000000 0.997505 70 100 10 40 1603 50 0.0299439 0.0592639 0.109794 0.223955 0.382408 0.567062 0.739239 0.886463 0.976918 0.994386 0.997505
boise60k10p40cp 0 5.000000 0.997505 80 100 10 40 1603 50 0.0280724 0.0611354 0.100437 0.218964 0.384279 0.575795 0.756706 0.917031 0.97879 0.990643 0.997505
boise60k10p40cp 0 5.000000 0.997505 90 100 10 40 1603 50 0.0280724 0.0611354 0.106051 0.228946 0.389894 0.55209 0.747973 0.910168 0.978166 0.993138 0.997505
boise60k10p40cp 0 5.000000 0.997505 100 100 10 40 1603 50 0.0280724 0.0580162 0.10917 0.222707 0.391142 0.568933 0.741734 0.909545 0.97879 0.99189 0.997505
