0 0.094000 0.002000
10 0.131000 0.011000
20 0.166000 0.020000
30 0.200000 0.024000
40 0.234000 0.033000
50 0.258000 0.040000
60 0.287000 0.048000
70 0.306000 0.055000
80 0.339000 0.070000
90 0.366000 0.079000
100 0.383000 0.076000
110 0.401000 0.065000
120 0.422000 0.064000
130 0.434000 0.061000
140 0.452000 0.063000
150 0.464000 0.064000
160 0.475000 0.066000
170 0.487000 0.068000
180 0.503000 0.070000
190 0.528000 0.078000
200 0.542000 0.087000
210 0.555000 0.090000
220 0.570000 0.095000
230 0.578000 0.095000
240 0.590000 0.096000
250 0.601000 0.088000
260 0.614000 0.088000
270 0.620000 0.089000
280 0.632000 0.087000
290 0.641000 0.084000
300 0.649000 0.087000
310 0.658000 0.090000
320 0.667000 0.094000
330 0.678000 0.097000
340 0.685000 0.099000
350 0.694000 0.105000
360 0.704000 0.109000
370 0.707000 0.111000
380 0.714000 0.113000
390 0.724000 0.117000
400 0.728000 0.118000
410 0.734000 0.121000
420 0.736000 0.123000
430 0.738000 0.123000
440 0.743000 0.125000
450 0.748000 0.124000
460 0.752000 0.123000
470 0.756000 0.126000
480 0.759000 0.129000
490 0.759000 0.128000
500 0.761000 0.129000
510 0.763000 0.130000
520 0.765000 0.127000
530 0.769000 0.127000
540 0.772000 0.126000
550 0.776000 0.127000
560 0.779000 0.125000
570 0.783000 0.122000
580 0.786000 0.123000
590 0.792000 0.122000
600 0.797000 0.118000
610 0.800000 0.119000
620 0.802000 0.120000
630 0.803000 0.119000
640 0.809000 0.120000
650 0.812000 0.119000
660 0.815000 0.117000
670 0.816000 0.116000
680 0.820000 0.116000
690 0.823000 0.118000
700 0.824000 0.117000
710 0.828000 0.116000
720 0.829000 0.116000
730 0.830000 0.117000
740 0.831000 0.115000
750 0.832000 0.116000
760 0.835000 0.114000
770 0.835000 0.113000
780 0.836000 0.112000
790 0.837000 0.111000
800 0.840000 0.106000
810 0.840000 0.106000
820 0.843000 0.100000
830 0.845000 0.101000
840 0.847000 0.098000
850 0.848000 0.099000
860 0.848000 0.099000
870 0.849000 0.099000
880 0.852000 0.099000
890 0.854000 0.096000
900 0.854000 0.096000
910 0.854000 0.096000
920 0.856000 0.093000
930 0.857000 0.091000
940 0.860000 0.091000
950 0.865000 0.083000
960 0.867000 0.079000
970 0.868000 0.080000
980 0.868000 0.079000
990 0.871000 0.075000
1000 0.873000 0.072000
